model,noise_type,sigma,image,psnr,ssim,lpips,psnr_noisy,ssim_noisy,lpips_noisy,inference_ms
vae,gaussian,15,test031.png,18.207599098079747,0.19709275367017606,0.8170161247253418,24.61792525607113,0.8547596910635232,0.10548154264688492,
dncnn,gaussian,15,test032.png,29.390131420746606,0.907662997132256,0.07602451741695404,24.61718603024604,0.7822521725591263,0.244625985622406,
vae,gaussian,15,test032.png,20.30645308459964,0.3378378983881163,0.6626201272010803,24.61718603024604,0.7822521725591263,0.244625985622406,
dncnn,gaussian,15,test033.png,30.72587382695874,0.9402126364307595,0.07056624442338943,24.731188419555153,0.575843813279418,0.3617439866065979,
vae,gaussian,15,test033.png,20.836536562684515,0.6092025715083482,0.5005978941917419,24.731188419555153,0.575843813279418,0.3617439866065979,
dncnn,gaussian,15,test034.png,35.14808431782381,0.8911251018150906,0.1750071793794632,24.757491596539545,0.423116933299809,0.5019689798355103,
vae,gaussian,15,test034.png,28.405762248086642,0.7739039763345312,0.38188692927360535,24.757491596539545,0.423116933299809,0.5019689798355103,
dncnn,gaussian,15,test035.png,30.48570438370782,0.8777973340647163,0.11555096507072449,24.654461220562226,0.6104738923557221,0.32506251335144043,
vae,gaussian,15,test035.png,22.18117148794139,0.5319952268075924,0.6171835660934448,24.654461220562226,0.6104738923557221,0.32506251335144043,
dncnn,gaussian,15,test036.png,29.19832178274806,0.7032573347350609,0.2531387507915497,24.625566696730274,0.5811097438544558,0.19174639880657196,
vae,gaussian,15,test036.png,25.41650522395843,0.3673872785002704,0.9186081886291504,24.625566696730274,0.5811097438544558,0.19174639880657196,
dncnn,gaussian,15,test037.png,30.722003687385524,0.8628877815963232,0.10790529102087021,24.675721041893844,0.555964593949772,0.3577634394168854,
vae,gaussian,15,test037.png,24.308806340059007,0.5563012303151728,0.5502992868423462,24.675721041893844,0.555964593949772,0.3577634394168854,
dncnn,gaussian,15,test038.png,31.537332137390152,0.877817129015823,0.09703329205513,24.647026321347887,0.5945264830996618,0.4316652715206146,
vae,gaussian,15,test038.png,24.26165389688968,0.49801754523621633,0.6107778549194336,24.647026321347887,0.5945264830996618,0.4316652715206146,
dncnn,gaussian,15,test039.png,35.687106965490585,0.9385772847838469,0.04020422697067261,24.61606139680741,0.4947740625113672,0.6371484994888306,
vae,gaussian,15,test039.png,25.574244987559013,0.7066686213003184,0.4050480127334595,24.61606139680741,0.4947740625113672,0.6371484994888306,
dncnn,gaussian,15,test040.png,31.582281309998535,0.8432522758557185,0.15919943153858185,24.813282290928388,0.5841501854931501,0.301403284072876,
vae,gaussian,15,test040.png,22.132230114270307,0.5362465054607825,0.599678635597229,24.813282290928388,0.5841501854931501,0.301403284072876,
dncnn,gaussian,15,test041.png,30.437649662322443,0.8939583836990092,0.0754920020699501,24.88532677383489,0.6274239185726209,0.3023054897785187,
vae,gaussian,15,test041.png,21.65037689154503,0.5201287996529689,0.5928491950035095,24.88532677383489,0.6274239185726209,0.3023054897785187,
dncnn,gaussian,15,test042.png,31.969440723307017,0.8688536949370838,0.11267160624265671,24.6093565289071,0.5083848064838595,0.4287540316581726,
vae,gaussian,15,test042.png,22.807105505703728,0.6056324252846436,0.5857728719711304,24.6093565289071,0.5083848064838595,0.4287540316581726,
dncnn,gaussian,15,test043.png,33.01927213358253,0.9252734958527978,0.07161359488964081,24.718919188887973,0.5722667044413617,0.45689013600349426,
vae,gaussian,15,test043.png,21.935383764865275,0.6505518270929057,0.42652997374534607,24.718919188887973,0.5722667044413617,0.45689013600349426,
dncnn,gaussian,15,test044.png,30.303837598100905,0.9148501885487024,0.06489917635917664,24.71359841341708,0.6448790438865858,0.3470439612865448,
vae,gaussian,15,test044.png,21.18707600923669,0.4481438044479201,0.6094780564308167,24.71359841341708,0.6448790438865858,0.3470439612865448,
dncnn,gaussian,15,test045.png,35.53096258525967,0.9056189927660433,0.12495927512645721,24.609846540201232,0.3721659277235854,0.6551331281661987,
vae,gaussian,15,test045.png,30.114291209262603,0.7584032988131079,0.48846036195755005,24.609846540201232,0.3721659277235854,0.6551331281661987,
dncnn,gaussian,15,test046.png,29.118188340265945,0.8721824364855375,0.06983787566423416,24.728658099676828,0.738041387061776,0.17057932913303375,
vae,gaussian,15,test046.png,18.803190399932323,0.3451092484281468,0.676270604133606,24.728658099676828,0.738041387061776,0.17057932913303375,
dncnn,gaussian,15,test047.png,29.26923513186074,0.8858083448854206,0.08565235137939453,24.596960278204495,0.7319795869774587,0.27565884590148926,
